,Date,Global_Confirmed_Cases,Global_Deaths
0,1/24/20,944,26
1,1/25/20,493,16
2,1/26/20,683,14
3,1/27/20,809,26
4,1/28/20,2651,49
5,1/29/20,589,2
6,1/30/20,2068,39
7,1/31/20,1690,42
8,2/1/20,2111,46
9,2/2/20,4749,104
10,2/3/20,3100,64
11,2/4/20,4012,66
12,2/5/20,3745,72
13,2/6/20,3162,70
14,2/7/20,3594,85
15,2/8/20,2731,87
16,2/9/20,3031,100
17,2/10/20,2609,107
18,2/11/20,2043,100
19,2/12/20,418,5
20,2/13/20,15152,253
21,2/14/20,6528,152
22,2/15/20,2143,143
23,2/16/20,2183,104
24,2/17/20,2035,98
25,2/18/20,1882,140
26,2/19/20,500,115
27,2/20/20,561,125
28,2/21/20,630,4
29,2/22/20,1762,208
30,2/23/20,382,11
31,2/24/20,568,160
32,2/25/20,854,80
33,2/26/20,972,61
34,2/27/20,1344,43
35,2/28/20,1424,59
36,2/29/20,1871,70
37,3/1/20,2379,54
38,3/2/20,1980,90
39,3/3/20,2612,74
40,3/4/20,2344,96
41,3/5/20,2740,95
42,3/6/20,3984,114
43,3/7/20,4137,104
44,3/8/20,3798,242
45,3/9/20,4295,194
46,3/10/20,4759,275
47,3/11/20,7476,352
48,3/12/20,6756,321
49,3/13/20,13194,503
50,3/14/20,10888,426
51,3/15/20,11233,671
52,3/16/20,14567,711
53,3/17/20,15174,851
54,3/18/20,17561,956
55,3/19/20,27087,1142
56,3/20/20,29530,1574
57,3/21/20,32427,1808
58,3/22/20,34212,1828
59,3/23/20,42555,2096
60,3/24/20,41883,2426
61,3/25/20,51481,2971
62,3/26/20,60814,3253
63,3/27/20,63931,3639
64,3/28/20,69582,4049
65,3/29/20,56516,3819
66,3/30/20,65011,4370
67,3/31/20,78442,5168
68,4/1/20,86357,6644
69,4/2/20,82448,6253
70,4/3/20,84210,6502
71,4/4/20,60121,6359
72,4/5/20,71715,5921
73,4/6/20,74726,6427
74,4/7/20,68938,8517
75,4/8/20,82176,7220
76,4/9/20,87181,8155
77,4/10/20,86422,7741
78,4/11/20,75515,6982
79,4/12/20,118581,6514
80,4/13/20,71832,6513
81,4/14/20,84633,7357
82,4/15/20,78256,8765
83,4/16/20,94468,7712
84,4/17/20,87880,8888
85,4/18/20,78252,6430
86,4/19/20,76322,6101
87,4/20/20,76482,6511
88,4/21/20,76087,7196
89,4/22/20,82038,7279
90,4/23/20,82717,7270
91,4/24/20,83563,6838
92,4/25/20,83205,6050
93,4/26/20,70795,4816
94,4/27/20,70984,5445
95,4/28/20,75832,6629
96,4/29/20,77328,6980
97,4/30/20,83652,6253
98,5/1/20,88946,5587
99,5/2/20,78262,6046
100,5/3/20,73997,4275
101,5/4/20,77637,4845
102,5/5/20,79685,6147
103,5/6/20,90422,6760
104,5/7/20,89138,5866
105,5/8/20,90483,5955
106,5/9/20,84343,4918
107,5/10/20,75223,4338
108,5/11/20,76141,4078
109,5/12/20,85280,5730
110,5/13/20,84348,5437
111,5/14/20,95642,5749
112,5/15/20,95902,5753
113,5/16/20,93890,4541
114,5/17/20,78363,3880
115,5/18/20,89132,4395
116,5/19/20,95818,4968
117,5/20/20,105423,5406
118,5/21/20,105973,5035
119,5/22/20,107342,5706
120,5/23/20,104150,4454
121,5/24/20,93216,3400
122,5/25/20,88223,1694
123,5/26/20,92362,4780
124,5/27/20,102556,5220
125,5/28/20,119993,4991
126,5/29/20,121436,5156
127,5/30/20,135043,4359
128,5/31/20,102860,3287
129,6/1/20,100264,3741
130,6/2/20,122641,5271
131,6/3/20,111216,5621
132,6/4/20,138230,5528
133,6/5/20,133406,5057
134,6/6/20,129330,4140
135,6/7/20,111012,3257
136,6/8/20,103048,4455
137,6/9/20,125982,5045
138,6/10/20,137162,5426
139,6/11/20,136186,5137
140,6/12/20,127474,4743
141,6/13/20,133908,4393
142,6/14/20,131947,3782
143,6/15/20,124912,4067
144,6/16/20,143899,7118
145,6/17/20,143202,5477
146,6/18/20,143094,5354
147,6/19/20,180996,6358
148,6/20/20,185883,4482
149,6/21/20,93062,4644
150,6/22/20,142332,3867
151,6/23/20,168123,5569
152,6/24/20,171436,5498
153,6/25/20,179515,5110
154,6/26/20,192490,5083
155,6/27/20,176412,4736
156,6/28/20,168457,3621
157,6/29/20,152682,4072
158,6/30/20,183771,5252
159,7/1/20,215128,5341
160,7/2/20,204970,5514
161,7/3/20,202638,5240
162,7/4/20,189714,4794
163,7/5/20,186220,3845
164,7/6/20,168273,4268
165,7/7/20,209569,6360
166,7/8/20,215286,5629
167,7/9/20,224596,5849
168,7/10/20,232881,5742
169,7/11/20,212820,5141
170,7/12/20,192932,4302
171,7/13/20,194478,4436
172,7/14/20,221027,5985
173,7/15/20,229786,5919
174,7/16/20,244912,6162
175,7/17/20,237420,7038
176,7/18/20,235341,6530
177,7/19/20,211891,4894
178,7/20/20,208144,3966
179,7/21/20,243021,6338
180,7/22/20,275356,7418
181,7/23/20,279631,6637
182,7/24/20,283506,6462
183,7/25/20,249557,6065
184,7/26/20,211809,4409
185,7/27/20,234386,5296
186,7/28/20,263887,6938
187,7/29/20,270234,6628
188,7/30/20,281781,6777
189,7/31/20,287462,6610
